request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000,affordable_now,full_payment,2025-08-03:15656000,2025-08-03,none,Pay IDR 15656000 today; the plan keeps the retained minimum protected for 90 days.
request_27,6670,affordable_now,full_payment,2026-07-05:6670,2026-07-05,none,Pay ZAR 6670 today; the plan keeps the retained minimum protected for 90 days.
request_28,431.01,not_affordable,not_recommended,none,,none,No eligible plan keeps the EUR 1100.00 minimum protected through the 90-day forecast.
request_29,51524,affordable_now,full_payment,2025-11-04:51524,2025-11-04,none,Pay ZAR 51524 today; the plan keeps the retained minimum protected for 90 days.
request_30,775.20,affordable_with_plan,installments,2026-04-06:268.74|2026-05-06:268.74|2026-06-05:268.74,2026-04-06,none,Use the supplied 3-payment installment schedule; the plan keeps the retained minimum protected for 90 days.
request_31,11662071.93,affordable_later,wait,2024-09-15:18164000,2024-09-15,none,Wait and pay IDR 18164000 on 2024-09-15; full-payment capacity is first forecast on 2024-09-15.
request_32,17891.48,not_affordable,not_recommended,none,,none,No eligible plan keeps the ZAR 35700 minimum protected through the 90-day forecast.
request_33,31898.47,not_affordable,not_recommended,none,,none,No eligible plan keeps the INR 102100 minimum protected through the 90-day forecast.
request_34,81775.37,affordable_with_plan,full_payment,2024-12-04:129400,,stop:event_3085|reduce_to:event_3123:3295,Pay INR 129400 today; the permitted spending changes keep the retained minimum protected.
request_35,56578.66,not_affordable,not_recommended,none,,none,No eligible plan keeps the INR 106400 minimum protected through the 90-day forecast.
request_36,905.16,affordable_later,wait,2026-09-15:3954.00,2026-09-15,none,Wait and pay USD 3954.00 on 2026-09-15; full-payment capacity is first forecast on 2026-09-15.
request_37,5865082.71,not_affordable,not_recommended,none,,none,No eligible plan keeps the IDR 17056200 minimum protected through the 90-day forecast.
request_38,257.96,affordable_later,wait,2025-10-15:971.30,2025-10-15,none,Wait and pay EUR 971.30 on 2025-10-15; full-payment capacity is first forecast on 2025-10-15.
request_39,151224.85,affordable_later,wait,2026-04-15:208600,2026-04-15,none,Wait and pay INR 208600 on 2026-04-15; full-payment capacity is first forecast on 2026-04-15.
request_40,666.62,not_affordable,not_recommended,none,,none,No eligible plan keeps the EUR 1500.00 minimum protected through the 90-day forecast.
request_41,11593650.04,affordable_later,wait,2025-11-15:38760000,2025-11-15,none,Wait and pay IDR 38760000 on 2025-11-15; full-payment capacity is first forecast on 2025-11-15.
request_42,52100,affordable_now,full_payment,2026-01-05:52100,2026-01-05,none,Pay INR 52100 today; the plan keeps the retained minimum protected for 90 days.
request_43,11485500,affordable_later,wait,2024-11-15:43339000,2024-11-15,none,Wait and pay IDR 43339000 on 2024-11-15; full-payment capacity is first forecast on 2024-11-15.
request_44,50160,not_affordable,not_recommended,none,,none,No eligible plan keeps the INR 82900 minimum protected through the 90-day forecast.
request_45,6301384.76,affordable_later,wait,2026-09-15:21983000,2026-09-15,none,Wait and pay IDR 21983000 on 2026-09-15; full-payment capacity is first forecast on 2026-09-15.
request_46,49450,affordable_with_plan,installments,2024-12-03:25714|2024-12-31:25714,2024-12-03,none,Use the supplied 2-payment installment schedule; the plan keeps the retained minimum protected for 90 days.
request_47,38114000,affordable_now,full_payment,2025-05-05:38114000,2025-05-05,none,Pay IDR 38114000 today; the plan keeps the retained minimum protected for 90 days.
request_48,45700,affordable_now,full_payment,2026-07-25:45700,2026-07-25,none,Pay INR 45700 today; the plan keeps the retained minimum protected for 90 days.
request_49,17006117.09,affordable_with_plan,installments,2024-03-18:11902106.67|2024-04-18:11902106.67|2024-05-19:11902106.67,2024-05-15,none,Use the supplied 3-payment installment schedule; full-payment capacity is first forecast on 2024-05-15.
request_50,43900,affordable_now,full_payment,2025-08-06:43900,2025-08-06,none,Pay INR 43900 today; the plan keeps the retained minimum protected for 90 days.
request_51,2191000,affordable_now,full_payment,2026-01-03:2191000,2026-01-03,none,Pay IDR 2191000 today; the plan keeps the retained minimum protected for 90 days.
request_52,26530,affordable_later,wait,2024-06-15:28870,2024-06-15,none,Wait and pay INR 28870 on 2024-06-15; full-payment capacity is first forecast on 2024-06-15.
request_53,883.42,affordable_with_plan,installments,2025-11-21:589.06|2025-12-19:589.06|2026-01-16:589.06,2026-01-15,none,Use the supplied 3-payment installment schedule; full-payment capacity is first forecast on 2026-01-15.
request_54,9949.09,not_affordable,not_recommended,none,,none,No eligible plan keeps the ZAR 37000 minimum protected through the 90-day forecast.
request_55,142338.76,affordable_later,not_recommended,none,2026-08-15,none,No eligible plan keeps the INR 124300 minimum protected through the 90-day forecast.
request_56,809.54,affordable_with_plan,partial_payment,2025-02-03:809.54|2025-02-15:72.02,2025-02-15,none,Pay USD 809.54 today and the remaining balance later; full-payment capacity is first forecast on 2025-02-15.
request_57,16340.34,not_affordable,not_recommended,none,,none,No eligible plan keeps the ZAR 42700 minimum protected through the 90-day forecast.
request_58,16226000,affordable_now,full_payment,2024-12-07:16226000,2024-12-07,none,Pay IDR 16226000 today; the plan keeps the retained minimum protected for 90 days.
request_59,140600,affordable_with_plan,installments,2025-05-07:48741.33|2025-06-04:48741.33|2025-07-02:48741.33,2025-05-04,none,Use the supplied 3-payment installment schedule; the plan keeps the retained minimum protected for 90 days.
request_60,144.37,affordable_later,not_recommended,none,2026-03-15,none,No eligible plan keeps the USD 400.00 minimum protected through the 90-day forecast.
request_61,29062,affordable_with_plan,installments,2024-03-17:10074.83|2024-04-17:10074.83|2024-05-18:10074.83,2024-03-03,none,Use the supplied 3-payment installment schedule; the plan keeps the retained minimum protected for 90 days.
request_62,404.23,affordable_now,full_payment,2025-08-05:404.23,2025-08-05,none,Pay USD 404.23 today; the plan keeps the retained minimum protected for 90 days.
request_63,66434.76,affordable_with_plan,partial_payment,2026-07-07:66434.76|2026-09-15:277465.24,2026-09-15,none,Pay INR 66434.76 today and the remaining balance later; full-payment capacity is first forecast on 2026-09-15.
request_64,0,not_affordable,not_recommended,none,,none,No eligible plan keeps the INR 36100 minimum protected through the 90-day forecast.
request_65,8319.17,not_affordable,not_recommended,none,,none,No eligible plan keeps the ZAR 15500 minimum protected through the 90-day forecast.
request_66,22200,affordable_now,full_payment,2026-04-03:22200,2026-04-03,none,Pay INR 22200 today; the plan keeps the retained minimum protected for 90 days.
request_67,578.52,affordable_later,wait,2024-09-15:2094.00,2024-09-15,none,Wait and pay USD 2094.00 on 2024-09-15; full-payment capacity is first forecast on 2024-09-15.
request_68,1679.40,affordable_with_plan,installments,2025-02-14:725.09|2025-03-14:725.09|2025-04-11:725.09,2025-03-23,none,Use the supplied 3-payment installment schedule; full-payment capacity is first forecast on 2025-03-23.
request_69,514.99,affordable_with_plan,full_payment,2026-01-04:529.10,2026-03-15,stop:event_6405,Pay EUR 529.10 today; the permitted spending changes keep the retained minimum protected.
request_70,59952.21,affordable_later,wait,2025-02-15:243900,2025-02-15,none,Wait and pay INR 243900 on 2025-02-15; full-payment capacity is first forecast on 2025-02-15.
request_71,2568004.78,not_affordable,not_recommended,none,,none,No eligible plan keeps the IDR 8884800 minimum protected through the 90-day forecast.
request_72,11330,affordable_now,full_payment,2026-07-05:11330,2026-07-05,none,Pay ZAR 11330 today; the plan keeps the retained minimum protected for 90 days.
request_73,71400,affordable_now,full_payment,2023-01-20:71400,2023-01-20,none,Pay INR 71400 today; the plan keeps the retained minimum protected for 90 days.
request_74,5010,affordable_now,full_payment,2025-08-04:5010,2025-08-04,none,Pay ZAR 5010 today; the plan keeps the retained minimum protected for 90 days.
request_75,28270,affordable_with_plan,installments,2026-04-09:9800.27|2026-05-09:9800.27|2026-06-08:9800.27,2026-04-06,none,Use the supplied 3-payment installment schedule; the plan keeps the retained minimum protected for 90 days.
request_76,971.41,not_affordable,not_recommended,none,,none,No eligible plan keeps the USD 1800.00 minimum protected through the 90-day forecast.
request_77,60700,affordable_now,full_payment,2025-11-05:60700,2025-11-05,none,Pay INR 60700 today; the plan keeps the retained minimum protected for 90 days.
request_78,50200,affordable_now,full_payment,2025-10-02:50200,2025-10-02,none,Pay INR 50200 today; the plan keeps the retained minimum protected for 90 days.
request_79,910.58,affordable_with_plan,partial_payment,2024-09-04:910.58|2024-09-15:1241.02,2024-09-15,none,Pay EUR 910.58 today and the remaining balance later; full-payment capacity is first forecast on 2024-09-15.
request_80,140770,affordable_later,not_recommended,none,2025-03-15,none,No eligible plan keeps the INR 121300 minimum protected through the 90-day forecast.
request_81,2076.00,affordable_now,full_payment,2026-07-03:2076.00,2026-07-03,none,Pay USD 2076.00 today; the plan keeps the retained minimum protected for 90 days.
request_82,622.75,affordable_later,wait,2025-02-15:1405.20,2025-02-15,none,Wait and pay USD 1405.20 on 2025-02-15; full-payment capacity is first forecast on 2025-02-15.
request_83,9821.04,not_affordable,not_recommended,none,,none,No eligible plan keeps the INR 37800 minimum protected through the 90-day forecast.
request_84,41427.50,not_affordable,not_recommended,none,,none,No eligible plan keeps the INR 91300 minimum protected through the 90-day forecast.
request_85,1702707.14,not_affordable,not_recommended,none,,none,No eligible plan keeps the IDR 6396300 minimum protected through the 90-day forecast.
request_86,46300,affordable_now,full_payment,2025-08-03:46300,2025-08-03,none,Pay INR 46300 today; the plan keeps the retained minimum protected for 90 days.
request_87,0,not_affordable,not_recommended,none,,none,No eligible plan keeps the INR 185900 minimum protected through the 90-day forecast.
request_88,11959.79,affordable_with_plan,installments,2024-06-14:9045.23|2024-07-15:9045.23|2024-08-15:9045.23,2024-07-15,none,Use the supplied 3-payment installment schedule; full-payment capacity is first forecast on 2024-07-15.
request_89,10237162.88,affordable_with_plan,installments,2025-11-18:4768746.67|2025-12-16:4768746.67|2026-01-13:4768746.67,2025-11-15,none,Use the supplied 3-payment installment schedule; full-payment capacity is first forecast on 2025-11-15.
request_90,2560,affordable_now,full_payment,2026-07-06:2560,2026-07-06,none,Pay ZAR 2560 today; the plan keeps the retained minimum protected for 90 days.
request_91,1525.95,affordable_later,wait,2024-10-15:1927.20,2024-10-15,none,Wait and pay EUR 1927.20 on 2024-10-15; full-payment capacity is first forecast on 2024-10-15.
request_92,34034,affordable_now,full_payment,2025-02-05:34034,2025-02-05,none,Pay ZAR 34034 today; the plan keeps the retained minimum protected for 90 days.
request_93,1729.20,affordable_now,full_payment,2026-04-07:1729.20,2026-04-07,none,Pay USD 1729.20 today; the plan keeps the retained minimum protected for 90 days.
request_94,572.00,affordable_now,full_payment,2024-12-04:572.00,2024-12-04,none,Pay EUR 572.00 today; the plan keeps the retained minimum protected for 90 days.
request_95,45925.58,not_affordable,not_recommended,none,,none,No eligible plan keeps the INR 145500 minimum protected through the 90-day forecast.
request_96,84764.35,affordable_with_plan,installments,2026-01-10:31269.33|2026-02-09:31269.33|2026-03-11:31269.33,2026-01-15,none,Use the supplied 3-payment installment schedule; full-payment capacity is first forecast on 2026-01-15.
request_97,2910.52,affordable_with_plan,installments,2024-03-19:8145.28|2024-04-19:8145.28|2024-05-20:8145.28,2024-03-15,none,Use the supplied 3-payment installment schedule; full-payment capacity is first forecast on 2024-03-15.
request_98,7055.82,not_affordable,not_recommended,none,,none,No eligible plan keeps the ZAR 30000 minimum protected through the 90-day forecast.
request_99,18062,affordable_now,full_payment,2026-07-04:18062,2026-07-04,none,Pay ZAR 18062 today; the plan keeps the retained minimum protected for 90 days.
request_100,27873.89,affordable_with_plan,installments,2024-06-13:12866.19|2024-07-14:12866.19|2024-08-14:12866.19,2024-06-15,none,Use the supplied 3-payment installment schedule; full-payment capacity is first forecast on 2024-06-15.
request_101,143500,affordable_now,full_payment,2025-11-03:143500,2025-11-03,none,Pay INR 143500 today; the plan keeps the retained minimum protected for 90 days.
request_102,1716.00,affordable_with_plan,installments,2026-04-05:594.88|2026-05-05:594.88|2026-06-04:594.88,2026-04-05,none,Use the supplied 3-payment installment schedule; the plan keeps the retained minimum protected for 90 days.
